1160	5034	1	
1310	5367	0	
1155	5025	1		
1165	5040	1		
1305	5364	0		
1162	5037	1		
1163	5036	1		
1164	5035	1		
1302	5366	0		
1303	5362	0		
1165	5033	1		
1166	5037	1		
1163	5038	1		
1303	5366	0		
1166	5033	1		
1305	5368	0		
1163	5033	1		
1166	5038	1		
1305	5367	0		
1167	5033	1		
1166	5034	1		
1163	5039	1		
1302	5366	0		
1303	5362	0		
1167	5033	1		
1166	5037	1		
1165	5034	1		
1163	5039	1		
1303	5369	0		
1160	5034	1		
1165	5033	1		
1166	5037	1		
1163	5038	1		
1303	5366	0		
1166	5033	1		
1305	5368	0		
1163	5033	1		
1166	5038	1		
1305	5367	0		
1167	5033	1		
1166	5034	1		
1163	5039	1		
1302	5366	0		
1303	5362	0		
1167	5033	1		
1166	5037	1		
1165	5034	1		
1163	5039	1		
1303	5369	0		
1160	5034	1		
1303	5369	0		
1160	5034	1		
